method,pf,pm,td,detected,det_H25,det_H50,det_H100,mean_logBIR,max_logBIR,rep_id,job_id,scenario_id,block_id,rep_start,rep_end,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,c_liu_T2,c_class_roll,c_rrh_075,c_rrh_085,c_rrh_adaptive
RRH_FD_085,0.051224944320712694,0.950033311125916,13,1,1,1,1,0.14886311707098507,0.6109040530225007,16,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.051224944320712694,0.9540306462358428,13,1,1,1,1,0.11752061737049191,0.4559846671295915,16,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.042316258351893093,0.9020652898067955,31,1,0,1,1,-0.008411578406541814,0.4298549962584568,17,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.044543429844097995,0.9473684210526315,33,1,0,1,1,-0.008411578406541814,0.4298549962584568,17,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.0378619153674833,0.9487008660892738,33,1,0,1,1,-0.010687411781590021,0.6662166830864962,17,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.044543429844097995,0.9407061958694204,33,1,0,1,1,0.005338727172982529,0.4322282925622867,17,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.0467706013363029,0.944037308461026,33,1,0,1,1,-0.008411578406541814,0.4298549962584568,17,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.042316258351893093,0.9613590939373751,2,1,1,1,1,-0.013238610909311506,0.18533347017126633,18,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.0556792873051225,0.9480346435709527,11,1,1,1,1,-0.013238610909311506,0.18533347017126633,18,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.053452115812917596,0.9480346435709527,11,1,1,1,1,-0.016390161918658854,0.3805987018413921,18,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.060133630289532294,0.9420386409060626,11,1,1,1,1,-0.011449157315428119,0.425065433057104,18,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.05790645879732739,0.9460359760159893,11,1,1,1,1,-0.013238610909311506,0.18533347017126633,18,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.042316258351893093,0.9260493004663558,59,1,0,0,1,0.03621183240045547,0.34215694742419167,19,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.053452115812917596,0.9560293137908061,16,1,1,1,1,0.03621183240045547,0.34215694742419167,19,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.07349665924276169,0.9533644237175216,16,1,1,1,1,0.04213913094910464,0.3758427121191099,19,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.07126948775055679,0.9526982011992006,16,1,1,1,1,0.05354904864142774,0.3445302438219562,19,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.06904231625835189,0.9520319786808794,16,1,1,1,1,0.03621183240045547,0.34215694742419167,19,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
